"","Row.names","down","Freq","up"
"1","PGEN_.00g092270",TRUE,3,NA
"2","PGEN_.00g130390",TRUE,3,NA
"3","PGEN_.00g162900",TRUE,3,NA
"4","PGEN_.00g266130",TRUE,3,NA
"5","PGEN_.00g291230",TRUE,3,NA
"6","PGEN_.00g295020",TRUE,3,NA
"7","PGEN_.00g333460",TRUE,3,NA
"8","PGEN_.00g340250",TRUE,3,NA
"9","PGEN_.00g003940",NA,3,TRUE
"10","PGEN_.00g027970",NA,3,TRUE
"11","PGEN_.00g057310",NA,3,TRUE
"12","PGEN_.00g133710",NA,3,TRUE
"13","PGEN_.00g158570",NA,3,TRUE
"14","PGEN_.00g169480",NA,3,TRUE
"15","PGEN_.00g188250",NA,3,TRUE
"16","PGEN_.00g199810",NA,3,TRUE
"17","PGEN_.00g211250",NA,3,TRUE
"18","PGEN_.00g272710",NA,3,TRUE
"19","PGEN_.00g279590",NA,3,TRUE
"20","PGEN_.00g313880",NA,3,TRUE
"21","PGEN_.00g348220",NA,3,TRUE
"22","PGEN_.00g348570",NA,3,TRUE
