"","slim_term","slim_cat","GO_count","GO_terms","GO_list","Gene_count","Gene_IDs","module_day"
"1","transport","GO:0006810",3,"GO:0006886","GO:0006886;GO:0015031;GO:0043312",48,"PGEN_.00g014380;PGEN_.00g021820;PGEN_.00g024130;PGEN_.00g026480;PGEN_.00g039830;PGEN_.00g040090;PGEN_.00g046140;PGEN_.00g055760;PGEN_.00g057120;PGEN_.00g077860;PGEN_.00g080030;PGEN_.00g082970;PGEN_.00g114930;PGEN_.00g122170;PGEN_.00g131010;PGEN_.00g132070;PGEN_.00g132570;PGEN_.00g134530;PGEN_.00g147170;PGEN_.00g149140;PGEN_.00g149750;PGEN_.00g155710;PGEN_.00g158040;PGEN_.00g169480;PGEN_.00g170650;PGEN_.00g192770;PGEN_.00g198530;PGEN_.00g204750;PGEN_.00g205400;PGEN_.00g205860;PGEN_.00g208710;PGEN_.00g208790;PGEN_.00g214470;PGEN_.00g219400;PGEN_.00g225360;PGEN_.00g263870;PGEN_.00g273940;PGEN_.00g288810;PGEN_.00g305230;PGEN_.00g305960;PGEN_.00g313720;PGEN_.00g313730;PGEN_.00g313920;PGEN_.00g318890;PGEN_.00g331940;PGEN_.00g332010;PGEN_.00g339990;PGEN_.00g348850","Day7_brown"
"2","protein transport","GO:0015031",2,"GO:0006886","GO:0006886",20,"PGEN_.00g014380;PGEN_.00g021820;PGEN_.00g024130;PGEN_.00g026480;PGEN_.00g039830;PGEN_.00g040090;PGEN_.00g131010;PGEN_.00g134530;PGEN_.00g147170;PGEN_.00g149140;PGEN_.00g155710;PGEN_.00g192770;PGEN_.00g198530;PGEN_.00g204750;PGEN_.00g208790;PGEN_.00g305230;PGEN_.00g305960;PGEN_.00g313920;PGEN_.00g318890;PGEN_.00g339990","Day7_brown"
"3","immune system process","GO:0002376",1,"GO:0043312","GO:0043312",10,"PGEN_.00g057120;PGEN_.00g082970;PGEN_.00g122170;PGEN_.00g169480;PGEN_.00g170650;PGEN_.00g225360;PGEN_.00g288810;PGEN_.00g331940;PGEN_.00g332010;PGEN_.00g348850","Day7_brown"
"4","vesicle-mediated transport","GO:0016192",1,"GO:0043312","GO:0043312",10,"PGEN_.00g057120;PGEN_.00g082970;PGEN_.00g122170;PGEN_.00g169480;PGEN_.00g170650;PGEN_.00g225360;PGEN_.00g288810;PGEN_.00g331940;PGEN_.00g332010;PGEN_.00g348850","Day7_brown"
