"","GO_terms","X","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day","slim_term","Gene_IDs"
"1","GO:0000122",13,0.00421233621597078,0.997474946627,45,402,"negative regulation of transcription by RNA polymerase II","BP","greenyellow","Day7","biosynthetic process","PGEN_.00g000530;PGEN_.00g001200;PGEN_.00g001700;PGEN_.00g003130;PGEN_.00g003630;PGEN_.00g004020;PGEN_.00g009770;PGEN_.00g016300;PGEN_.00g017110;PGEN_.00g017350;PGEN_.00g017990;PGEN_.00g021960;PGEN_.00g024930;PGEN_.00g026310;PGEN_.00g028390;PGEN_.00g030430;PGEN_.00g030670;PGEN_.00g031590;PGEN_.00g033990;PGEN_.00g035120;PGEN_.00g036390;PGEN_.00g038910;PGEN_.00g041220;PGEN_.00g041380;PGEN_.00g041700;PGEN_.00g044880;PGEN_.00g045570;PGEN_.00g046190;PGEN_.00g046400;PGEN_.00g046500;PGEN_.00g049750;PGEN_.00g050340;PGEN_.00g052560;PGEN_.00g055250;PGEN_.00g056680;PGEN_.00g056800;PGEN_.00g058030;PGEN_.00g058270;PGEN_.00g058770;PGEN_.00g062170;PGEN_.00g067550;PGEN_.00g068110;PGEN_.00g073570;PGEN_.00g073750;PGEN_.00g076830;PGEN_.00g079160;PGEN_.00g081800;PGEN_.00g082570;PGEN_.00g082590;PGEN_.00g082690;PGEN_.00g083520;PGEN_.00g084960;PGEN_.00g085430;PGEN_.00g086540;PGEN_.00g089940;PGEN_.00g091420;PGEN_.00g092460;PGEN_.00g094340;PGEN_.00g098630;PGEN_.00g100200;PGEN_.00g103530;PGEN_.00g103860;PGEN_.00g104030;PGEN_.00g109130;PGEN_.00g110330;PGEN_.00g110580;PGEN_.00g112380;PGEN_.00g113850;PGEN_.00g114540;PGEN_.00g115870;PGEN_.00g117040;PGEN_.00g118320;PGEN_.00g119420;PGEN_.00g120670;PGEN_.00g122370;PGEN_.00g126680;PGEN_.00g128160;PGEN_.00g130030;PGEN_.00g130250;PGEN_.00g133850;PGEN_.00g134100;PGEN_.00g134190;PGEN_.00g139150;PGEN_.00g141830;PGEN_.00g145380;PGEN_.00g146010;PGEN_.00g146420;PGEN_.00g148530;PGEN_.00g149250;PGEN_.00g150960;PGEN_.00g153380;PGEN_.00g154680;PGEN_.00g154950;PGEN_.00g156700;PGEN_.00g158160;PGEN_.00g158330;PGEN_.00g160610;PGEN_.00g160800;PGEN_.00g161110;PGEN_.00g162010;PGEN_.00g163340;PGEN_.00g163590;PGEN_.00g164730;PGEN_.00g169590;PGEN_.00g173080;PGEN_.00g175610;PGEN_.00g178100;PGEN_.00g179160;PGEN_.00g181300;PGEN_.00g183360;PGEN_.00g187680;PGEN_.00g188310;PGEN_.00g188330;PGEN_.00g189090;PGEN_.00g189530;PGEN_.00g193040;PGEN_.00g193610;PGEN_.00g194430;PGEN_.00g195280;PGEN_.00g196010;PGEN_.00g197310;PGEN_.00g199580;PGEN_.00g199600;PGEN_.00g202340;PGEN_.00g202750;PGEN_.00g206610;PGEN_.00g208760;PGEN_.00g210600;PGEN_.00g210790;PGEN_.00g213370;PGEN_.00g213820;PGEN_.00g216500;PGEN_.00g222130;PGEN_.00g224060;PGEN_.00g226300;PGEN_.00g227600;PGEN_.00g229190;PGEN_.00g231410;PGEN_.00g235110;PGEN_.00g236080;PGEN_.00g240620;PGEN_.00g242700;PGEN_.00g242730;PGEN_.00g247690;PGEN_.00g251300;PGEN_.00g254000;PGEN_.00g254890;PGEN_.00g260760;PGEN_.00g263240;PGEN_.00g270690;PGEN_.00g273210;PGEN_.00g281780;PGEN_.00g283300;PGEN_.00g284000;PGEN_.00g287540;PGEN_.00g287710;PGEN_.00g288260;PGEN_.00g289290;PGEN_.00g291940;PGEN_.00g298600;PGEN_.00g302300;PGEN_.00g303450;PGEN_.00g307100;PGEN_.00g309420;PGEN_.00g311570;PGEN_.00g312410;PGEN_.00g314640;PGEN_.00g314970;PGEN_.00g315270;PGEN_.00g317310;PGEN_.00g319930;PGEN_.00g319940;PGEN_.00g320430;PGEN_.00g322910;PGEN_.00g322940;PGEN_.00g324980;PGEN_.00g329160;PGEN_.00g330150;PGEN_.00g332080;PGEN_.00g338440;PGEN_.00g339330;PGEN_.00g345890;PGEN_.00g346720;PGEN_.00g348540"
"2","GO:0000122",13,0.00421233621597078,0.997474946627,45,402,"negative regulation of transcription by RNA polymerase II","BP","greenyellow","Day7","cellular nitrogen compound metaboli...","PGEN_.00g000530;PGEN_.00g001200;PGEN_.00g001700;PGEN_.00g003130;PGEN_.00g003630;PGEN_.00g004020;PGEN_.00g006160;PGEN_.00g009770;PGEN_.00g016300;PGEN_.00g017110;PGEN_.00g017350;PGEN_.00g017990;PGEN_.00g021960;PGEN_.00g024930;PGEN_.00g026310;PGEN_.00g028390;PGEN_.00g030430;PGEN_.00g030670;PGEN_.00g031590;PGEN_.00g033990;PGEN_.00g035120;PGEN_.00g036390;PGEN_.00g038910;PGEN_.00g041220;PGEN_.00g041380;PGEN_.00g041700;PGEN_.00g044880;PGEN_.00g045570;PGEN_.00g046190;PGEN_.00g046400;PGEN_.00g046500;PGEN_.00g049750;PGEN_.00g050340;PGEN_.00g052560;PGEN_.00g055250;PGEN_.00g056680;PGEN_.00g056800;PGEN_.00g058030;PGEN_.00g058270;PGEN_.00g058770;PGEN_.00g062170;PGEN_.00g067550;PGEN_.00g068110;PGEN_.00g073570;PGEN_.00g073750;PGEN_.00g076830;PGEN_.00g079160;PGEN_.00g081800;PGEN_.00g082570;PGEN_.00g082590;PGEN_.00g082690;PGEN_.00g083520;PGEN_.00g084960;PGEN_.00g085430;PGEN_.00g086540;PGEN_.00g089940;PGEN_.00g091420;PGEN_.00g092460;PGEN_.00g094340;PGEN_.00g098630;PGEN_.00g100200;PGEN_.00g103530;PGEN_.00g103860;PGEN_.00g104030;PGEN_.00g109130;PGEN_.00g110330;PGEN_.00g110580;PGEN_.00g112380;PGEN_.00g113850;PGEN_.00g114540;PGEN_.00g115870;PGEN_.00g117040;PGEN_.00g118320;PGEN_.00g119420;PGEN_.00g120670;PGEN_.00g122370;PGEN_.00g126680;PGEN_.00g128160;PGEN_.00g130030;PGEN_.00g130250;PGEN_.00g133850;PGEN_.00g134100;PGEN_.00g134190;PGEN_.00g139150;PGEN_.00g141830;PGEN_.00g145380;PGEN_.00g146010;PGEN_.00g146420;PGEN_.00g148530;PGEN_.00g149250;PGEN_.00g150960;PGEN_.00g153380;PGEN_.00g154680;PGEN_.00g154950;PGEN_.00g156700;PGEN_.00g158160;PGEN_.00g158330;PGEN_.00g160610;PGEN_.00g160800;PGEN_.00g161110;PGEN_.00g162010;PGEN_.00g163340;PGEN_.00g163590;PGEN_.00g164730;PGEN_.00g169590;PGEN_.00g173080;PGEN_.00g175610;PGEN_.00g178100;PGEN_.00g179160;PGEN_.00g181300;PGEN_.00g183360;PGEN_.00g187680;PGEN_.00g188310;PGEN_.00g188330;PGEN_.00g189090;PGEN_.00g189530;PGEN_.00g193040;PGEN_.00g193610;PGEN_.00g194430;PGEN_.00g195280;PGEN_.00g196010;PGEN_.00g197310;PGEN_.00g199580;PGEN_.00g199600;PGEN_.00g202340;PGEN_.00g202750;PGEN_.00g206610;PGEN_.00g208760;PGEN_.00g210600;PGEN_.00g210790;PGEN_.00g213370;PGEN_.00g213820;PGEN_.00g216500;PGEN_.00g222130;PGEN_.00g224060;PGEN_.00g226300;PGEN_.00g227600;PGEN_.00g229190;PGEN_.00g231410;PGEN_.00g235110;PGEN_.00g236080;PGEN_.00g240620;PGEN_.00g242700;PGEN_.00g242730;PGEN_.00g247690;PGEN_.00g251300;PGEN_.00g254000;PGEN_.00g254890;PGEN_.00g260760;PGEN_.00g263240;PGEN_.00g270690;PGEN_.00g272040;PGEN_.00g273210;PGEN_.00g281780;PGEN_.00g283300;PGEN_.00g284000;PGEN_.00g287540;PGEN_.00g287710;PGEN_.00g288260;PGEN_.00g289290;PGEN_.00g291940;PGEN_.00g298600;PGEN_.00g302300;PGEN_.00g303450;PGEN_.00g307100;PGEN_.00g309420;PGEN_.00g311570;PGEN_.00g312410;PGEN_.00g314640;PGEN_.00g314970;PGEN_.00g315270;PGEN_.00g317310;PGEN_.00g319930;PGEN_.00g319940;PGEN_.00g320430;PGEN_.00g322910;PGEN_.00g322940;PGEN_.00g324980;PGEN_.00g329160;PGEN_.00g330150;PGEN_.00g332080;PGEN_.00g338440;PGEN_.00g339330;PGEN_.00g345890;PGEN_.00g346720;PGEN_.00g348540"
"3","GO:0000184",8,4.20959279789312e-05,0.999992463940639,12,38,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP","greenyellow","Day7","nucleobase-containing compound cata...","PGEN_.00g000530;PGEN_.00g006160;PGEN_.00g026310;PGEN_.00g041380;PGEN_.00g046400;PGEN_.00g153380;PGEN_.00g160610;PGEN_.00g163590;PGEN_.00g195280;PGEN_.00g196010;PGEN_.00g272040;PGEN_.00g312410"
"4","GO:0000184",8,4.20959279789312e-05,0.999992463940639,12,38,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP","greenyellow","Day7","catabolic process","PGEN_.00g000530;PGEN_.00g001030;PGEN_.00g006160;PGEN_.00g026310;PGEN_.00g041380;PGEN_.00g046400;PGEN_.00g048660;PGEN_.00g048700;PGEN_.00g048730;PGEN_.00g117310;PGEN_.00g128080;PGEN_.00g140070;PGEN_.00g153380;PGEN_.00g160610;PGEN_.00g163590;PGEN_.00g170110;PGEN_.00g195280;PGEN_.00g196010;PGEN_.00g199100;PGEN_.00g213190;PGEN_.00g220790;PGEN_.00g220810;PGEN_.00g272040;PGEN_.00g312410;PGEN_.00g330020"
"5","GO:0000184",8,4.20959279789312e-05,0.999992463940639,12,38,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP","greenyellow","Day7","cellular nitrogen compound metaboli...","PGEN_.00g000530;PGEN_.00g001200;PGEN_.00g001700;PGEN_.00g003130;PGEN_.00g003630;PGEN_.00g004020;PGEN_.00g006160;PGEN_.00g009770;PGEN_.00g016300;PGEN_.00g017110;PGEN_.00g017350;PGEN_.00g017990;PGEN_.00g021960;PGEN_.00g024930;PGEN_.00g026310;PGEN_.00g028390;PGEN_.00g030430;PGEN_.00g030670;PGEN_.00g031590;PGEN_.00g033990;PGEN_.00g035120;PGEN_.00g036390;PGEN_.00g038910;PGEN_.00g041220;PGEN_.00g041380;PGEN_.00g041700;PGEN_.00g044880;PGEN_.00g045570;PGEN_.00g046190;PGEN_.00g046400;PGEN_.00g046500;PGEN_.00g049750;PGEN_.00g050340;PGEN_.00g052560;PGEN_.00g055250;PGEN_.00g056680;PGEN_.00g056800;PGEN_.00g058030;PGEN_.00g058270;PGEN_.00g058770;PGEN_.00g062170;PGEN_.00g067550;PGEN_.00g068110;PGEN_.00g073570;PGEN_.00g073750;PGEN_.00g076830;PGEN_.00g079160;PGEN_.00g081800;PGEN_.00g082570;PGEN_.00g082590;PGEN_.00g082690;PGEN_.00g083520;PGEN_.00g084960;PGEN_.00g085430;PGEN_.00g086540;PGEN_.00g089940;PGEN_.00g091420;PGEN_.00g092460;PGEN_.00g094340;PGEN_.00g098630;PGEN_.00g100200;PGEN_.00g103530;PGEN_.00g103860;PGEN_.00g104030;PGEN_.00g109130;PGEN_.00g110330;PGEN_.00g110580;PGEN_.00g112380;PGEN_.00g113850;PGEN_.00g114540;PGEN_.00g115870;PGEN_.00g117040;PGEN_.00g118320;PGEN_.00g119420;PGEN_.00g120670;PGEN_.00g122370;PGEN_.00g126680;PGEN_.00g128160;PGEN_.00g130030;PGEN_.00g130250;PGEN_.00g133850;PGEN_.00g134100;PGEN_.00g134190;PGEN_.00g139150;PGEN_.00g141830;PGEN_.00g145380;PGEN_.00g146010;PGEN_.00g146420;PGEN_.00g148530;PGEN_.00g149250;PGEN_.00g150960;PGEN_.00g153380;PGEN_.00g154680;PGEN_.00g154950;PGEN_.00g156700;PGEN_.00g158160;PGEN_.00g158330;PGEN_.00g160610;PGEN_.00g160800;PGEN_.00g161110;PGEN_.00g162010;PGEN_.00g163340;PGEN_.00g163590;PGEN_.00g164730;PGEN_.00g169590;PGEN_.00g173080;PGEN_.00g175610;PGEN_.00g178100;PGEN_.00g179160;PGEN_.00g181300;PGEN_.00g183360;PGEN_.00g187680;PGEN_.00g188310;PGEN_.00g188330;PGEN_.00g189090;PGEN_.00g189530;PGEN_.00g193040;PGEN_.00g193610;PGEN_.00g194430;PGEN_.00g195280;PGEN_.00g196010;PGEN_.00g197310;PGEN_.00g199580;PGEN_.00g199600;PGEN_.00g202340;PGEN_.00g202750;PGEN_.00g206610;PGEN_.00g208760;PGEN_.00g210600;PGEN_.00g210790;PGEN_.00g213370;PGEN_.00g213820;PGEN_.00g216500;PGEN_.00g222130;PGEN_.00g224060;PGEN_.00g226300;PGEN_.00g227600;PGEN_.00g229190;PGEN_.00g231410;PGEN_.00g235110;PGEN_.00g236080;PGEN_.00g240620;PGEN_.00g242700;PGEN_.00g242730;PGEN_.00g247690;PGEN_.00g251300;PGEN_.00g254000;PGEN_.00g254890;PGEN_.00g260760;PGEN_.00g263240;PGEN_.00g270690;PGEN_.00g272040;PGEN_.00g273210;PGEN_.00g281780;PGEN_.00g283300;PGEN_.00g284000;PGEN_.00g287540;PGEN_.00g287710;PGEN_.00g288260;PGEN_.00g289290;PGEN_.00g291940;PGEN_.00g298600;PGEN_.00g302300;PGEN_.00g303450;PGEN_.00g307100;PGEN_.00g309420;PGEN_.00g311570;PGEN_.00g312410;PGEN_.00g314640;PGEN_.00g314970;PGEN_.00g315270;PGEN_.00g317310;PGEN_.00g319930;PGEN_.00g319940;PGEN_.00g320430;PGEN_.00g322910;PGEN_.00g322940;PGEN_.00g324980;PGEN_.00g329160;PGEN_.00g330150;PGEN_.00g332080;PGEN_.00g338440;PGEN_.00g339330;PGEN_.00g345890;PGEN_.00g346720;PGEN_.00g348540"
"6","GO:0000209",12,0.00410445116784183,0.998174650515872,20,143,"protein polyubiquitination","BP","greenyellow","Day7","cellular protein modification proce...","PGEN_.00g000520;PGEN_.00g001030;PGEN_.00g003190;PGEN_.00g021630;PGEN_.00g022690;PGEN_.00g023770;PGEN_.00g028390;PGEN_.00g037960;PGEN_.00g043710;PGEN_.00g043720;PGEN_.00g045570;PGEN_.00g046390;PGEN_.00g049540;PGEN_.00g052400;PGEN_.00g055380;PGEN_.00g056250;PGEN_.00g061710;PGEN_.00g062050;PGEN_.00g062480;PGEN_.00g070350;PGEN_.00g071360;PGEN_.00g071600;PGEN_.00g076010;PGEN_.00g082590;PGEN_.00g082600;PGEN_.00g083520;PGEN_.00g091210;PGEN_.00g096330;PGEN_.00g099950;PGEN_.00g100700;PGEN_.00g110580;PGEN_.00g112840;PGEN_.00g116950;PGEN_.00g122170;PGEN_.00g128160;PGEN_.00g138520;PGEN_.00g138680;PGEN_.00g139000;PGEN_.00g143610;PGEN_.00g145380;PGEN_.00g146260;PGEN_.00g146420;PGEN_.00g147940;PGEN_.00g150010;PGEN_.00g152540;PGEN_.00g165550;PGEN_.00g170110;PGEN_.00g194430;PGEN_.00g194480;PGEN_.00g196840;PGEN_.00g199580;PGEN_.00g199700;PGEN_.00g200760;PGEN_.00g205200;PGEN_.00g210600;PGEN_.00g213460;PGEN_.00g213830;PGEN_.00g219250;PGEN_.00g220020;PGEN_.00g220910;PGEN_.00g224980;PGEN_.00g225900;PGEN_.00g228650;PGEN_.00g228900;PGEN_.00g230660;PGEN_.00g234590;PGEN_.00g237060;PGEN_.00g238510;PGEN_.00g239600;PGEN_.00g242430;PGEN_.00g254890;PGEN_.00g289290;PGEN_.00g297150;PGEN_.00g297430;PGEN_.00g297680;PGEN_.00g301780;PGEN_.00g302370;PGEN_.00g314190;PGEN_.00g315730;PGEN_.00g316170;PGEN_.00g320290;PGEN_.00g334730;PGEN_.00g338440"
"7","GO:0000226",17,0.0131209425726195,0.995440529115689,10,56,"microtubule cytoskeleton organization","BP","greenyellow","Day7","cytoskeleton organization","PGEN_.00g016290;PGEN_.00g072360;PGEN_.00g083310;PGEN_.00g127260;PGEN_.00g179830;PGEN_.00g181770;PGEN_.00g229670;PGEN_.00g274530;PGEN_.00g274550;PGEN_.00g274560"
"8","GO:0001934",18,0.0133583321730059,0.995044676143322,11,66,"positive regulation of protein phosphorylation","BP","greenyellow","Day7","cellular protein modification proce...","PGEN_.00g000520;PGEN_.00g001030;PGEN_.00g003190;PGEN_.00g021630;PGEN_.00g022690;PGEN_.00g023770;PGEN_.00g028390;PGEN_.00g037960;PGEN_.00g043710;PGEN_.00g043720;PGEN_.00g045570;PGEN_.00g046390;PGEN_.00g049540;PGEN_.00g052400;PGEN_.00g055380;PGEN_.00g056250;PGEN_.00g061710;PGEN_.00g062050;PGEN_.00g062480;PGEN_.00g070350;PGEN_.00g071360;PGEN_.00g071600;PGEN_.00g076010;PGEN_.00g082590;PGEN_.00g082600;PGEN_.00g083520;PGEN_.00g091210;PGEN_.00g096330;PGEN_.00g099950;PGEN_.00g100700;PGEN_.00g110580;PGEN_.00g112840;PGEN_.00g116950;PGEN_.00g122170;PGEN_.00g128160;PGEN_.00g138520;PGEN_.00g138680;PGEN_.00g139000;PGEN_.00g143610;PGEN_.00g145380;PGEN_.00g146260;PGEN_.00g146420;PGEN_.00g147940;PGEN_.00g150010;PGEN_.00g152540;PGEN_.00g165550;PGEN_.00g170110;PGEN_.00g194430;PGEN_.00g194480;PGEN_.00g196840;PGEN_.00g199580;PGEN_.00g199700;PGEN_.00g200760;PGEN_.00g205200;PGEN_.00g210600;PGEN_.00g213460;PGEN_.00g213830;PGEN_.00g219250;PGEN_.00g220020;PGEN_.00g220910;PGEN_.00g224980;PGEN_.00g225900;PGEN_.00g228650;PGEN_.00g228900;PGEN_.00g230660;PGEN_.00g234590;PGEN_.00g237060;PGEN_.00g238510;PGEN_.00g239600;PGEN_.00g242430;PGEN_.00g254890;PGEN_.00g289290;PGEN_.00g297150;PGEN_.00g297430;PGEN_.00g297680;PGEN_.00g301780;PGEN_.00g302370;PGEN_.00g314190;PGEN_.00g315730;PGEN_.00g316170;PGEN_.00g320290;PGEN_.00g334730;PGEN_.00g338440"
"9","GO:0002181",2,2.0160099977293e-14,1,14,17,"cytoplasmic translation","BP","greenyellow","Day7","biosynthetic process","PGEN_.00g000530;PGEN_.00g001200;PGEN_.00g001700;PGEN_.00g003130;PGEN_.00g003630;PGEN_.00g004020;PGEN_.00g009770;PGEN_.00g016300;PGEN_.00g017110;PGEN_.00g017350;PGEN_.00g017990;PGEN_.00g021960;PGEN_.00g024930;PGEN_.00g026310;PGEN_.00g028390;PGEN_.00g030430;PGEN_.00g030670;PGEN_.00g031590;PGEN_.00g033990;PGEN_.00g035120;PGEN_.00g036390;PGEN_.00g038910;PGEN_.00g041220;PGEN_.00g041380;PGEN_.00g041700;PGEN_.00g044880;PGEN_.00g045570;PGEN_.00g046190;PGEN_.00g046400;PGEN_.00g046500;PGEN_.00g049750;PGEN_.00g050340;PGEN_.00g052560;PGEN_.00g055250;PGEN_.00g056680;PGEN_.00g056800;PGEN_.00g058030;PGEN_.00g058270;PGEN_.00g058770;PGEN_.00g062170;PGEN_.00g067550;PGEN_.00g068110;PGEN_.00g073570;PGEN_.00g073750;PGEN_.00g076830;PGEN_.00g079160;PGEN_.00g081800;PGEN_.00g082570;PGEN_.00g082590;PGEN_.00g082690;PGEN_.00g083520;PGEN_.00g084960;PGEN_.00g085430;PGEN_.00g086540;PGEN_.00g089940;PGEN_.00g091420;PGEN_.00g092460;PGEN_.00g094340;PGEN_.00g098630;PGEN_.00g100200;PGEN_.00g103530;PGEN_.00g103860;PGEN_.00g104030;PGEN_.00g109130;PGEN_.00g110330;PGEN_.00g110580;PGEN_.00g112380;PGEN_.00g113850;PGEN_.00g114540;PGEN_.00g115870;PGEN_.00g117040;PGEN_.00g118320;PGEN_.00g119420;PGEN_.00g120670;PGEN_.00g122370;PGEN_.00g126680;PGEN_.00g128160;PGEN_.00g130030;PGEN_.00g130250;PGEN_.00g133850;PGEN_.00g134100;PGEN_.00g134190;PGEN_.00g139150;PGEN_.00g141830;PGEN_.00g145380;PGEN_.00g146010;PGEN_.00g146420;PGEN_.00g148530;PGEN_.00g149250;PGEN_.00g150960;PGEN_.00g153380;PGEN_.00g154680;PGEN_.00g154950;PGEN_.00g156700;PGEN_.00g158160;PGEN_.00g158330;PGEN_.00g160610;PGEN_.00g160800;PGEN_.00g161110;PGEN_.00g162010;PGEN_.00g163340;PGEN_.00g163590;PGEN_.00g164730;PGEN_.00g169590;PGEN_.00g173080;PGEN_.00g175610;PGEN_.00g178100;PGEN_.00g179160;PGEN_.00g181300;PGEN_.00g183360;PGEN_.00g187680;PGEN_.00g188310;PGEN_.00g188330;PGEN_.00g189090;PGEN_.00g189530;PGEN_.00g193040;PGEN_.00g193610;PGEN_.00g194430;PGEN_.00g195280;PGEN_.00g196010;PGEN_.00g197310;PGEN_.00g199580;PGEN_.00g199600;PGEN_.00g202340;PGEN_.00g202750;PGEN_.00g206610;PGEN_.00g208760;PGEN_.00g210600;PGEN_.00g210790;PGEN_.00g213370;PGEN_.00g213820;PGEN_.00g216500;PGEN_.00g222130;PGEN_.00g224060;PGEN_.00g226300;PGEN_.00g227600;PGEN_.00g229190;PGEN_.00g231410;PGEN_.00g235110;PGEN_.00g236080;PGEN_.00g240620;PGEN_.00g242700;PGEN_.00g242730;PGEN_.00g247690;PGEN_.00g251300;PGEN_.00g254000;PGEN_.00g254890;PGEN_.00g260760;PGEN_.00g263240;PGEN_.00g270690;PGEN_.00g273210;PGEN_.00g281780;PGEN_.00g283300;PGEN_.00g284000;PGEN_.00g287540;PGEN_.00g287710;PGEN_.00g288260;PGEN_.00g289290;PGEN_.00g291940;PGEN_.00g298600;PGEN_.00g302300;PGEN_.00g303450;PGEN_.00g307100;PGEN_.00g309420;PGEN_.00g311570;PGEN_.00g312410;PGEN_.00g314640;PGEN_.00g314970;PGEN_.00g315270;PGEN_.00g317310;PGEN_.00g319930;PGEN_.00g319940;PGEN_.00g320430;PGEN_.00g322910;PGEN_.00g322940;PGEN_.00g324980;PGEN_.00g329160;PGEN_.00g330150;PGEN_.00g332080;PGEN_.00g338440;PGEN_.00g339330;PGEN_.00g345890;PGEN_.00g346720;PGEN_.00g348540"
"10","GO:0002181",2,2.0160099977293e-14,1,14,17,"cytoplasmic translation","BP","greenyellow","Day7","cellular nitrogen compound metaboli...","PGEN_.00g000530;PGEN_.00g001200;PGEN_.00g001700;PGEN_.00g003130;PGEN_.00g003630;PGEN_.00g004020;PGEN_.00g006160;PGEN_.00g009770;PGEN_.00g016300;PGEN_.00g017110;PGEN_.00g017350;PGEN_.00g017990;PGEN_.00g021960;PGEN_.00g024930;PGEN_.00g026310;PGEN_.00g028390;PGEN_.00g030430;PGEN_.00g030670;PGEN_.00g031590;PGEN_.00g033990;PGEN_.00g035120;PGEN_.00g036390;PGEN_.00g038910;PGEN_.00g041220;PGEN_.00g041380;PGEN_.00g041700;PGEN_.00g044880;PGEN_.00g045570;PGEN_.00g046190;PGEN_.00g046400;PGEN_.00g046500;PGEN_.00g049750;PGEN_.00g050340;PGEN_.00g052560;PGEN_.00g055250;PGEN_.00g056680;PGEN_.00g056800;PGEN_.00g058030;PGEN_.00g058270;PGEN_.00g058770;PGEN_.00g062170;PGEN_.00g067550;PGEN_.00g068110;PGEN_.00g073570;PGEN_.00g073750;PGEN_.00g076830;PGEN_.00g079160;PGEN_.00g081800;PGEN_.00g082570;PGEN_.00g082590;PGEN_.00g082690;PGEN_.00g083520;PGEN_.00g084960;PGEN_.00g085430;PGEN_.00g086540;PGEN_.00g089940;PGEN_.00g091420;PGEN_.00g092460;PGEN_.00g094340;PGEN_.00g098630;PGEN_.00g100200;PGEN_.00g103530;PGEN_.00g103860;PGEN_.00g104030;PGEN_.00g109130;PGEN_.00g110330;PGEN_.00g110580;PGEN_.00g112380;PGEN_.00g113850;PGEN_.00g114540;PGEN_.00g115870;PGEN_.00g117040;PGEN_.00g118320;PGEN_.00g119420;PGEN_.00g120670;PGEN_.00g122370;PGEN_.00g126680;PGEN_.00g128160;PGEN_.00g130030;PGEN_.00g130250;PGEN_.00g133850;PGEN_.00g134100;PGEN_.00g134190;PGEN_.00g139150;PGEN_.00g141830;PGEN_.00g145380;PGEN_.00g146010;PGEN_.00g146420;PGEN_.00g148530;PGEN_.00g149250;PGEN_.00g150960;PGEN_.00g153380;PGEN_.00g154680;PGEN_.00g154950;PGEN_.00g156700;PGEN_.00g158160;PGEN_.00g158330;PGEN_.00g160610;PGEN_.00g160800;PGEN_.00g161110;PGEN_.00g162010;PGEN_.00g163340;PGEN_.00g163590;PGEN_.00g164730;PGEN_.00g169590;PGEN_.00g173080;PGEN_.00g175610;PGEN_.00g178100;PGEN_.00g179160;PGEN_.00g181300;PGEN_.00g183360;PGEN_.00g187680;PGEN_.00g188310;PGEN_.00g188330;PGEN_.00g189090;PGEN_.00g189530;PGEN_.00g193040;PGEN_.00g193610;PGEN_.00g194430;PGEN_.00g195280;PGEN_.00g196010;PGEN_.00g197310;PGEN_.00g199580;PGEN_.00g199600;PGEN_.00g202340;PGEN_.00g202750;PGEN_.00g206610;PGEN_.00g208760;PGEN_.00g210600;PGEN_.00g210790;PGEN_.00g213370;PGEN_.00g213820;PGEN_.00g216500;PGEN_.00g222130;PGEN_.00g224060;PGEN_.00g226300;PGEN_.00g227600;PGEN_.00g229190;PGEN_.00g231410;PGEN_.00g235110;PGEN_.00g236080;PGEN_.00g240620;PGEN_.00g242700;PGEN_.00g242730;PGEN_.00g247690;PGEN_.00g251300;PGEN_.00g254000;PGEN_.00g254890;PGEN_.00g260760;PGEN_.00g263240;PGEN_.00g270690;PGEN_.00g272040;PGEN_.00g273210;PGEN_.00g281780;PGEN_.00g283300;PGEN_.00g284000;PGEN_.00g287540;PGEN_.00g287710;PGEN_.00g288260;PGEN_.00g289290;PGEN_.00g291940;PGEN_.00g298600;PGEN_.00g302300;PGEN_.00g303450;PGEN_.00g307100;PGEN_.00g309420;PGEN_.00g311570;PGEN_.00g312410;PGEN_.00g314640;PGEN_.00g314970;PGEN_.00g315270;PGEN_.00g317310;PGEN_.00g319930;PGEN_.00g319940;PGEN_.00g320430;PGEN_.00g322910;PGEN_.00g322940;PGEN_.00g324980;PGEN_.00g329160;PGEN_.00g330150;PGEN_.00g332080;PGEN_.00g338440;PGEN_.00g339330;PGEN_.00g345890;PGEN_.00g346720;PGEN_.00g348540"
